[2026-02-15T21:16:04.521Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:16:05.484Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:16:06.784Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:16:07.743Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:16:33.260Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:16:34.236Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:16:37.225Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:16:38.205Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:17:17.637Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:17:18.444Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:17:28.281Z] [INFO] [ROOM_CREATED] Room created | {"roomId":"a8408585-e4e1-46dd-9850-d3ca8cac9b39","ownerId":"539564d0-de3a-4ada-beff-23addecc1279","ownerName":"happy-lime"}
[2026-02-15T21:17:28.431Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"a8408585-e4e1-46dd-9850-d3ca8cac9b39","role":"owner"}
[2026-02-15T21:17:33.425Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"857ffdbc-2b8c-4c10-bda6-f051ce6be66d","userName":"brave-bronze","roomId":"a8408585-e4e1-46dd-9850-d3ca8cac9b39","role":"guest"}
[2026-02-15T21:17:33.425Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"857ffdbc-2b8c-4c10-bda6-f051ce6be66d","userName":"brave-bronze","roomId":"a8408585-e4e1-46dd-9850-d3ca8cac9b39","role":"guest","success":true}
